,Car Brand,Model,Price,Model Year,Location,Fuel,Driven (Kms),Gear,Ownership,EMI (monthly)
1484,Maruti,LXI CNG (O) 1.0,476000,2019,Delhi,CNG,90671,Manual,1,9306
1485,Maruti,DELTA AT 1.5 SHVS PETROL,775000,2018,Delhi,Petrol,39325,Automatic,1,15151
1486,Honda,1.2L I-VTEC EX,344000,2014,Delhi,Petrol,69660,Manual,1,6725
1487,Honda,1.2L I-VTEC EX,365000,2014,Delhi,Petrol,57098,Manual,1,7136
1488,Maruti,LXI,380000,2014,Delhi,Petrol,63308,Manual,1,7429
1489,Hyundai,MAGNA EXECUTIVE 1.2,578000,2017,Delhi,Petrol,17923,Manual,1,11300
1490,Maruti,ZETA PETROL 1.2,672000,2019,Delhi,Petrol,32875,Manual,1,13138
1491,Hyundai,SPORTZ MT,486000,2019,Delhi,Petrol,25272,Manual,1,9501
1492,Hyundai,MAGNA 1.2 KAPPA VTVT,412000,2017,Delhi,Petrol,76507,Manual,1,8055
1493,Hyundai,MAGNA +,206750,2012,Delhi,Petrol,20538,Manual,1,4042
1494,Toyota,VL AT PETROL,481000,2012,Delhi,Petrol,63140,Automatic,1,9404
1495,Maruti,DELTA CVT PETROL 1.2,587000,2018,Delhi,Petrol,57129,Automatic,1,11476
1496,Mahindra,W11(O),1531000,2020,Delhi,Diesel,30867,Manual,1,29141
1497,Honda,1.2L I-VTEC S,366000,2015,Delhi,Petrol,114329,Manual,1,7155
1498,Hyundai,SX 1.2 (O),450000,2014,Delhi,Petrol,54833,Manual,1,8798
1499,Hyundai,SPORTZ 1.2 KAPPA VTVT,434000,2017,Delhi,CNG,75190,Manual,1,8485
1500,Toyota,G,310000,2013,Delhi,Petrol,42880,Manual,2,6061
1501,Maruti,DELTA PETROL 1.2,512000,2017,Delhi,Petrol,85782,Manual,1,10010
1502,Maruti,VXI,676000,2020,Delhi,Petrol,19844,Manual,1,13216
1503,Renault,RXS 106 PS MT,742000,2019,Delhi,Petrol,43395,Manual,1,14506
1504,Volkswagen,HIGHLINE PETROL AT,354000,2011,Delhi,Petrol,61100,Automatic,1,6921
1505,Mahindra,W7,907000,2018,Delhi,Diesel,94212,Manual,1,17264
1506,Hyundai,SPORTZ 1.2,144000,2010,Delhi,Petrol,122483,Manual,1,2815
1507,Hyundai,SPORTZ 1.2,536000,2017,Delhi,Petrol,51893,Manual,1,10479
1508,Hyundai,SPORTZ 1.1,304000,2013,Delhi,Petrol,41364,Manual,1,5943
1509,Honda,S MT,240000,2013,Delhi,Petrol,67656,Manual,2,4692
1510,Maruti,LXI CNG,223000,2011,Delhi,CNG,49855,Manual,2,4360
1511,Maruti,DELTA PETROL 1.2,512000,2019,Delhi,Petrol,97494,Manual,1,10010
1512,Maruti,DELTA PETROL 1.2,489000,2017,Delhi,Petrol,67386,Manual,1,9560
1513,Honda,1.5 i-DTEC VX MT,878000,2020,Delhi,Diesel,61360,Manual,1,16712
1514,Maruti,ZETA CVT PETROL 1.2,538000,2016,Delhi,Petrol,68323,Automatic,1,10518
1515,Honda,S MT,307000,2014,Delhi,Petrol,99665,Manual,1,6002
1516,Tata,XMA PETROL,683000,2019,Delhi,Petrol,69163,Automatic,2,13353
1517,Maruti,DELTA PETROL 1.2,538000,2017,Delhi,Petrol,28566,Manual,1,10518
1518,Hyundai,GL PLUS,159000,2011,Delhi,Petrol,124699,Manual,1,3108
1519,Toyota,2.4 VX 7 STR,1712000,2018,Delhi,Diesel,71914,Manual,1,32586
1520,Honda,1.5L I-VTEC SV,522000,2014,Delhi,Petrol,80323,Manual,1,10205
1521,Hyundai,1.6 CRDI SX,675000,2016,Delhi,Diesel,67464,Manual,1,13196
